"ISO3","National Unit","Name","Admin Level","Metric","Units","Year","Value"
"GHA","Ghana","Upper West","admin1","Incidence Rate","Cases per Thousand",2010,516.995166695888
"GHA","Ghana","Upper West","admin1","Incidence Rate","Cases per Thousand",2011,513.830930655163
"GHA","Ghana","Upper West","admin1","Incidence Rate","Cases per Thousand",2012,508.06538779932595
"GHA","Ghana","Upper West","admin1","Incidence Rate","Cases per Thousand",2013,480.041333497727
"GHA","Ghana","Upper West","admin1","Incidence Rate","Cases per Thousand",2014,425.748209286468
"GHA","Ghana","Upper West","admin1","Incidence Rate","Cases per Thousand",2015,338.870245210904
"GHA","Ghana","Upper West","admin1","Incidence Rate","Cases per Thousand",2016,246.26133789309702
"GHA","Ghana","Upper West","admin1","Incidence Rate","Cases per Thousand",2017,188.75064951712
"GHA","Ghana","Upper West","admin1","Incidence Rate","Cases per Thousand",2018,140.33259340156602
"GHA","Ghana","Upper West","admin1","Incidence Rate","Cases per Thousand",2019,120.57404691999899
"GHA","Ghana","Upper West","admin1","Incidence Rate","Cases per Thousand",2020,140.742417969077
"GHA","Ghana","Upper West","admin1","Incidence Rate","Cases per Thousand",2021,157.566644516385
"GHA","Ghana","Upper West","admin1","Incidence Rate","Cases per Thousand",2022,176.149351409605
"GHA","Ghana","Upper West","admin1","Infection Prevalence","per 100 Children",2010,76.7917014360643
"GHA","Ghana","Upper West","admin1","Infection Prevalence","per 100 Children",2011,78.3027657019516
"GHA","Ghana","Upper West","admin1","Infection Prevalence","per 100 Children",2012,73.3460423336443
"GHA","Ghana","Upper West","admin1","Infection Prevalence","per 100 Children",2013,61.425637299298295
"GHA","Ghana","Upper West","admin1","Infection Prevalence","per 100 Children",2014,48.664670991609
"GHA","Ghana","Upper West","admin1","Infection Prevalence","per 100 Children",2015,34.3802240277535
"GHA","Ghana","Upper West","admin1","Infection Prevalence","per 100 Children",2016,21.664020377172
"GHA","Ghana","Upper West","admin1","Infection Prevalence","per 100 Children",2017,14.592894789782
"GHA","Ghana","Upper West","admin1","Infection Prevalence","per 100 Children",2018,9.50521123765363
"GHA","Ghana","Upper West","admin1","Infection Prevalence","per 100 Children",2019,7.792189380546629
"GHA","Ghana","Upper West","admin1","Infection Prevalence","per 100 Children",2020,9.491359076817101
"GHA","Ghana","Upper West","admin1","Infection Prevalence","per 100 Children",2021,11.6452439715582
"GHA","Ghana","Upper West","admin1","Infection Prevalence","per 100 Children",2022,13.8306418382031
"GHA","Ghana","Upper West","admin1","Mortality Rate","Deaths per 100 Thousand",2010,118.38409999999999
"GHA","Ghana","Upper West","admin1","Mortality Rate","Deaths per 100 Thousand",2011,110.1212
"GHA","Ghana","Upper West","admin1","Mortality Rate","Deaths per 100 Thousand",2012,104.2573
"GHA","Ghana","Upper West","admin1","Mortality Rate","Deaths per 100 Thousand",2013,97.0543
"GHA","Ghana","Upper West","admin1","Mortality Rate","Deaths per 100 Thousand",2014,90.6831
"GHA","Ghana","Upper West","admin1","Mortality Rate","Deaths per 100 Thousand",2015,80.5134
"GHA","Ghana","Upper West","admin1","Mortality Rate","Deaths per 100 Thousand",2016,71.53609999999999
"GHA","Ghana","Upper West","admin1","Mortality Rate","Deaths per 100 Thousand",2017,55.498
"GHA","Ghana","Upper West","admin1","Mortality Rate","Deaths per 100 Thousand",2018,50.4372
"GHA","Ghana","Upper West","admin1","Mortality Rate","Deaths per 100 Thousand",2019,47.7349
"GHA","Ghana","Upper West","admin1","Mortality Rate","Deaths per 100 Thousand",2020,49.1998
"GHA","Ghana","Upper West","admin1","Mortality Rate","Deaths per 100 Thousand",2021,44.055800000000005
"GHA","Ghana","Upper West","admin1","Mortality Rate","Deaths per 100 Thousand",2022,45.547200000000004
"GHA","Ghana","Eastern","admin1","Incidence Rate","Cases per Thousand",2010,386.816720509927
"GHA","Ghana","Eastern","admin1","Incidence Rate","Cases per Thousand",2011,402.877609502329
"GHA","Ghana","Eastern","admin1","Incidence Rate","Cases per Thousand",2012,402.267142904414
"GHA","Ghana","Eastern","admin1","Incidence Rate","Cases per Thousand",2013,389.967631882072
"GHA","Ghana","Eastern","admin1","Incidence Rate","Cases per Thousand",2014,363.870467589259
"GHA","Ghana","Eastern","admin1","Incidence Rate","Cases per Thousand",2015,327.037893028422
"GHA","Ghana","Eastern","admin1","Incidence Rate","Cases per Thousand",2016,278.585757572068
"GHA","Ghana","Eastern","admin1","Incidence Rate","Cases per Thousand",2017,231.23831668661498
"GHA","Ghana","Eastern","admin1","Incidence Rate","Cases per Thousand",2018,190.052717480463
"GHA","Ghana","Eastern","admin1","Incidence Rate","Cases per Thousand",2019,175.32672190429798
"GHA","Ghana","Eastern","admin1","Incidence Rate","Cases per Thousand",2020,179.444057501754
"GHA","Ghana","Eastern","admin1","Incidence Rate","Cases per Thousand",2021,184.551452167093
"GHA","Ghana","Eastern","admin1","Incidence Rate","Cases per Thousand",2022,184.097680264781
"GHA","Ghana","Eastern","admin1","Infection Prevalence","per 100 Children",2010,42.1011914677307
"GHA","Ghana","Eastern","admin1","Infection Prevalence","per 100 Children",2011,45.2688921155025
