"ISO3","National Unit","Name","Admin Level","Metric","Units","Year","Value"
"GHA","Ghana","Upper West","admin1","Effective Treatment","in 100 malaria cases",2010,50.606497544566096
"GHA","Ghana","Upper West","admin1","Effective Treatment","in 100 malaria cases",2011,53.9617928171136
"GHA","Ghana","Upper West","admin1","Effective Treatment","in 100 malaria cases",2012,56.818080660066606
"GHA","Ghana","Upper West","admin1","Effective Treatment","in 100 malaria cases",2013,56.904766647286294
"GHA","Ghana","Upper West","admin1","Effective Treatment","in 100 malaria cases",2014,57.922535597609105
"GHA","Ghana","Upper West","admin1","Effective Treatment","in 100 malaria cases",2015,58.406385252333806
"GHA","Ghana","Upper West","admin1","Effective Treatment","in 100 malaria cases",2016,59.733619661733094
"GHA","Ghana","Upper West","admin1","Effective Treatment","in 100 malaria cases",2017,60.606552097900405
"GHA","Ghana","Upper West","admin1","Effective Treatment","in 100 malaria cases",2018,60.6046619897684
"GHA","Ghana","Upper West","admin1","Effective Treatment","in 100 malaria cases",2019,60.5367208066575
"GHA","Ghana","Upper West","admin1","Effective Treatment","in 100 malaria cases",2020,60.5347055140424
"GHA","Ghana","Upper West","admin1","Effective Treatment","in 100 malaria cases",2021,62.0784813783326
"GHA","Ghana","Upper West","admin1","Effective Treatment","in 100 malaria cases",2022,62.0784813783326
"GHA","Ghana","Eastern","admin1","Effective Treatment","in 100 malaria cases",2010,50.606840848922694
"GHA","Ghana","Eastern","admin1","Effective Treatment","in 100 malaria cases",2011,53.962188959121704
"GHA","Ghana","Eastern","admin1","Effective Treatment","in 100 malaria cases",2012,56.8184673786163
"GHA","Ghana","Eastern","admin1","Effective Treatment","in 100 malaria cases",2013,56.905120611190796
"GHA","Ghana","Eastern","admin1","Effective Treatment","in 100 malaria cases",2014,57.922828197479205
"GHA","Ghana","Eastern","admin1","Effective Treatment","in 100 malaria cases",2015,58.40660333633419
"GHA","Ghana","Eastern","admin1","Effective Treatment","in 100 malaria cases",2016,59.733814001083395
