"ISO3","National Unit","Name","Admin Level","Metric","Units","Year","Value"
"GHA","Ghana","Upper West","admin1","Use","in 100 people",2010,18.885792721
"GHA","Ghana","Upper West","admin1","Use","in 100 people",2011,30.1600980314
"GHA","Ghana","Upper West","admin1","Use","in 100 people",2012,51.7195291646
"GHA","Ghana","Upper West","admin1","Use","in 100 people",2013,48.4660600386
"GHA","Ghana","Upper West","admin1","Use","in 100 people",2014,42.6702033658
"GHA","Ghana","Upper West","admin1","Use","in 100 people",2015,49.085892000200005
"GHA","Ghana","Upper West","admin1","Use","in 100 people",2016,53.8821536748
"GHA","Ghana","Upper West","admin1","Use","in 100 people",2017,50.41280072909999
"GHA","Ghana","Upper West","admin1","Use","in 100 people",2018,66.30455415690001
"GHA","Ghana","Upper West","admin1","Use","in 100 people",2019,59.2394139231
"GHA","Ghana","Upper West","admin1","Use","in 100 people",2020,50.12076213660001
"GHA","Ghana","Upper West","admin1","Use","in 100 people",2021,67.4237034832
"GHA","Ghana","Upper West","admin1","Use","in 100 people",2022,68.0078276217
"GHA","Ghana","Upper West","admin1","Use Rate","in 100 people",2010,86.64357806209999
"GHA","Ghana","Upper West","admin1","Use Rate","in 100 people",2011,86.54757622499999
"GHA","Ghana","Upper West","admin1","Use Rate","in 100 people",2012,84.3778966714
"GHA","Ghana","Upper West","admin1","Use Rate","in 100 people",2013,75.1693315142
"GHA","Ghana","Upper West","admin1","Use Rate","in 100 people",2014,67.23134974320001
"GHA","Ghana","Upper West","admin1","Use Rate","in 100 people",2015,65.6729298991
"GHA","Ghana","Upper West","admin1","Use Rate","in 100 people",2016,66.6717873469
"GHA","Ghana","Upper West","admin1","Use Rate","in 100 people",2017,68.06657644159999
"GHA","Ghana","Upper West","admin1","Use Rate","in 100 people",2018,83.42871548190001
"GHA","Ghana","Upper West","admin1","Use Rate","in 100 people",2019,85.94140664
"GHA","Ghana","Upper West","admin1","Use Rate","in 100 people",2020,85.8893570211
"GHA","Ghana","Upper West","admin1","Use Rate","in 100 people",2021,90.41069001819999
"GHA","Ghana","Upper West","admin1","Use Rate","in 100 people",2022,91.28796853229998
"GHA","Ghana","Upper West","admin1","Access","in 100 people",2010,21.6445435197
"GHA","Ghana","Upper West","admin1","Access","in 100 people",2011,34.352432352300006
"GHA","Ghana","Upper West","admin1","Access","in 100 people",2012,60.4024950939
"GHA","Ghana","Upper West","admin1","Access","in 100 people",2013,63.2040460921
"GHA","Ghana","Upper West","admin1","Access","in 100 people",2014,62.094086335
"GHA","Ghana","Upper West","admin1","Access","in 100 people",2015,73.4441791591
"GHA","Ghana","Upper West","admin1","Access","in 100 people",2016,80.20317877869999
"GHA","Ghana","Upper West","admin1","Access","in 100 people",2017,73.7311040524
"GHA","Ghana","Upper West","admin1","Access","in 100 people",2018,78.6599691558
"GHA","Ghana","Upper West","admin1","Access","in 100 people",2019,68.44046356199999
"GHA","Ghana","Upper West","admin1","Access","in 100 people",2020,57.75452878989999
"GHA","Ghana","Upper West","admin1","Access","in 100 people",2021,73.5574547688
"GHA","Ghana","Upper West","admin1","Access","in 100 people",2022,73.88139193350001
"GHA","Ghana","Eastern","admin1","Use","in 100 people",2010,15.929294161
"GHA","Ghana","Eastern","admin1","Use","in 100 people",2011,29.970614665199996
"GHA","Ghana","Eastern","admin1","Use","in 100 people",2012,47.0263362864
"GHA","Ghana","Eastern","admin1","Use","in 100 people",2013,45.2497838313
"GHA","Ghana","Eastern","admin1","Use","in 100 people",2014,41.374097467
"GHA","Ghana","Eastern","admin1","Use","in 100 people",2015,44.8847246212
"GHA","Ghana","Eastern","admin1","Use","in 100 people",2016,44.4408538601
"GHA","Ghana","Eastern","admin1","Use","in 100 people",2017,36.2756543833
"GHA","Ghana","Eastern","admin1","Use","in 100 people",2018,51.0382334214
"GHA","Ghana","Eastern","admin1","Use","in 100 people",2019,44.2616334275
"GHA","Ghana","Eastern","admin1","Use","in 100 people",2020,33.7506546686
"GHA","Ghana","Eastern","admin1","Use","in 100 people",2021,49.313679402700004
"GHA","Ghana","Eastern","admin1","Use","in 100 people",2022,48.6698208768
"GHA","Ghana","Eastern","admin1","Use Rate","in 100 people",2010,73.2029465189
"GHA","Ghana","Eastern","admin1","Use Rate","in 100 people",2011,79.7940773567
"GHA","Ghana","Eastern","admin1","Use Rate","in 100 people",2012,85.1930465509
"GHA","Ghana","Eastern","admin1","Use Rate","in 100 people",2013,79.9376073765
"GHA","Ghana","Eastern","admin1","Use Rate","in 100 people",2014,68.26438662160001
"GHA","Ghana","Eastern","admin1","Use Rate","in 100 people",2015,64.9001276369
"GHA","Ghana","Eastern","admin1","Use Rate","in 100 people",2016,67.44402872159999
"GHA","Ghana","Eastern","admin1","Use Rate","in 100 people",2017,62.666222207400004
"GHA","Ghana","Eastern","admin1","Use Rate","in 100 people",2018,66.9139187605
"GHA","Ghana","Eastern","admin1","Use Rate","in 100 people",2019,60.834499866899996
"GHA","Ghana","Eastern","admin1","Use Rate","in 100 people",2020,53.4244936401
"GHA","Ghana","Eastern","admin1","Use Rate","in 100 people",2021,63.51193979450001
"GHA","Ghana","Eastern","admin1","Use Rate","in 100 people",2022,62.92054284049999
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2010,21.283493258000004
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2011,36.447615839
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2012,54.1425585696
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2013,55.645558510399994
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2014,60.0169453905
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2015,68.56231601710002
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2016,65.34781435469999
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2017,56.8388169883
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2018,74.2322683038
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2019,71.172977703
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2020,61.029486045000006
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2021,74.265604302
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2022,74.1867325811
"GHA","Ghana","Northern","admin1","Use","in 100 people",2010,15.425461899499998
"GHA","Ghana","Northern","admin1","Use","in 100 people",2011,33.4755902138
"GHA","Ghana","Northern","admin1","Use","in 100 people",2012,59.9546508456
"GHA","Ghana","Northern","admin1","Use","in 100 people",2013,53.95059180439999
"GHA","Ghana","Northern","admin1","Use","in 100 people",2014,37.21337637879999
